SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
63,26/09/2024,canteen + tea+snacks ,-,156,,,,,,,,,,,,,
64,02/10/2024,photocopy ,-,300,,,,,,,,,,,,,
65,28/10/2024,1st Month LAPTOP EMI,-,8000,,,,,,,,,,,,,
66,1/11/2024,cake+gift,-,225,,,,,,,,,,,,,
67,2/11/2024,color paper decoration + petrol,-,110,,,,,,,,,,,,,
68,04/11/2024,Revaluation ,-,400,,,,,,,,,,,,,
69,07/11/2024,AN food + Dinner,-,120,,,,,,,,,,,,,
70,07/12/2024,gift,-,1000,,,,,,,,,,,,,
71,11/01/2025,supermarket +vegetable +petrol,-,273,,,,,,,,,,,,,
72,12/01/2024,chicken -(kishore+inba+madesh+mano),-,,,,,,,,,,,,,,
73,13/01/2025,lenskart for gokul+gokul ku thara vendiya amount ,-,180,,,,,,,,,,,,,
74,13/01/2025,dmart+chicken ,-,147,,,,,,,,,,,,,
75,13/01/2025,electricity bill for Dhanush,-,1,,,,,,,,,,,,,
76,16/1/2025,Recharge ,-,40,,,,,,,,,,,,,
77,18/1/2025,Recharge ,-,51,,,,,,,,,,,,,
78,20/01/2025,cake for mukil,-,70,,,,,,,,,,,,,
79,21/01/2025,Food order ,-,42,,,,,,,,,,,,,
80,22/01/2025,dress,-,134,,,,,,,,,,,,,
81,24/01/2025,(gluegun+soldering iron) + laptop stand+chicken,-,592,,,,,,,,,,,,,
82,26/1/2025,Recharge ,-,29,,,,,,,,,,,,,
83,27/1/2025,bakery+snacks+recharge ,-,94,,,,,,,,,,,,,
84,28/1/2025,hospital +chicken ,-,170,,,,,,,,,,,,,
85,29/1/2025,recharge ,-,11,,,,,,,,,,,,,
86,30/1/2025,Bakery,-,80,,,,,,,,,,,,,
87,31/01/2025,Recharge ,-,22,,,,,,,,,,,,,
88,04/02/2025,petrol+dress+backcase+dress+chicken+dmart,-,2465,,,,,,,,,,,,,
89,11/02/2025,pant order+shirt order,-,1225,,,,,,,,,,,,,
90,13/02/2025,Shirt order+recharge ,-,375,,,,,,,,,,,,,
91,15/02/2025,recharge ,-,29,,,,,,,,,,,,,
92,,petrol,-,110,,,,,,,,,,,,,
93,28/02/2025,note+spare,-,82,,,,,,,,,,,,,
94,01/03/2025,spare,-,20,,,,,,,,,,,,,
95,08/03/2025,kpm to Chennai to bookbank +book,-,400,,,,,,,,,,,,,
,,thirumayil to park to kpm + snacks,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,40764,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Overall Remaining Balance,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 Remaining Balance In Account ,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Remaining Balance In Hand,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Laptop Due ,Amount ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,1st,8398,,,,,,,,,,,,,
,,,2nd,7988,,,,,,,,,,,,,
,,,3rd,7936,,,,,,,,,,,,,
,,,4th,7918,,,,,,,,,,,,,
,,,5th,7900,,,,,,,,,,,,,
,,,6th,7881,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Total,48021,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,First shown in Emi,7844,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
abdul given for spare,30,vishwa = 50 ,,,,,,,,,,,,,,,
,,prakash = 10,,,,,,,,,,,,,,,
,,Arun = 10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3 serve amount  (3*350) - Ram(Received),1050,,,,,,,,,,,,,,,,
1 serve amount (1*350) - Ram(Received),350,,,,,,,,,,,,,,,,
1 serve amount (1*350) - Pradeep (Pending),350,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,350,,,,,,,,,,,,,,,,
