SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
143,07/09/2025,Appa,-,5000,145,16/03/2024,spare,-,30,,,,,,,,
144,08&10/09/2025,Amma + Free Hostel Money (150),-,250,146,16/03/2024,Teatime ,-,48,,,,,,,,
145,15/09/2025,Appa,-,500,147,16/03/2024,Evening snack,-,100,,,,,,,,
146,16/09/2025,Appa,-,1000,148,17/03/2024,Train ticket kanchi to Chennai ,-,25,,,,,,,,
147,04/10/2025,Appa,-,5000,149,17/03/2024,Bus to Mylapore ,-,10,,,,,,,,
148,06/10/2025,appa+Amma,-,250,150,17/03/2024,book,-,400,,,,,,,,
149,19/10/2025,Appa for diwali dress + Normal ,-,500,151,17/03/2024,train+bus,-,10,,,,,,,,
150,21/10/2025,Appa,-,800,152,17/03/2024,afternoon lunch,-,103,,,,,,,,
151,22/10/2025,Amma,-,100,153,17/03/2024,watermelon ,-,30,,,,,,,,
152,03/11/2025,amma for iv & rent,-,6000,154,17/03/2024,bus ticket to poothamalle to kanchi,-,83,,,,,,,,
153,09/11/2025,Appa,-,1000,155,17/03/2024,chicken ,-,100,,,,,,,,
154,16/11/2025,Appa,-,500,156,17/03/2024,store malasa +snacks ,-,40,,,,,,,,
155,17/11/2025,Appa,-,2500,157,17/03/2024,watercan,-,20,,,,,,,,
156,18/11/2025,Patti,-,500,158,18/03/2024,spare,-,30,,,,,,,,
157,23/11/2025,Appa + amma,-,230,159,19/03/2024,spare,-,20,,,,,,,,
,,,,,160,20/03/2024,spare,-,10,,,,,,,,
,,,,,161,21/03/2024,spare,-,30,,,,,,,,
,,,,,162,21/03/2024,vegetables,-,25,,,,,,,,
,,,,,163,22/03/2024,tea+biscuit +juice +can,-,47,,,,,,,,
,,,,,164,22/03/2024,spare,-,10,,,,,,,,
,,,,,165,23/03/2024,clg spare,-,10,,,,,,,,
,,,,,166,23/03/2024,food,-,60,,,,,,,,
,,,,,167,23/03/2024,clg to arcot ,-,40,,,,,,,,
,,,,,168,23/03/2024,arcot to home ,-,22,,,,,,,,
,,,,,169,25/03/2024,home to room,-,74,,,,,,,,
,,,,,170,25/03/2024,clg spare,-,30,,,,,,,,
,,,,,171,25/03/2024,bread + egg + vegetable ,-,115,,,,,,,,
,,,,,172,26/03/2024,spare ,-,10,,,,,,,,
,,,,,173,26/03/2024,Egg,-,20,,,,,,,,
,,,,,174,27/03/2024,vegetables +snacks +egg,-,60,,,,,,,,
,,,,,175,27/03/2024,spare,-,10,,,,,,,,
,,,,,176,28/03/2024,spare,-,30,,,,,,,,
,,,,,177,28/03/2024,food order,-,222,,,,,,,,
,,,,,178,29/03/2024,curd,-,20,,,,,,,,
,,,,,179,29/03/2024,medical ,-,155,,,,,,,,
,,,,,180,29/03/2024,Maggie + snacks +juice +can,-,97,,,,,,,,
,,,,,181,30/03/2024,spare,-,20,,,,,,,,
,,,,,182,30/03/2024,mukil,-,50,,,,,,,,
,,,,,183,30/03/2024,juice+water,-,45,,,,,,,,
,,,,,184,30/03/2024,medical ,-,135,,,,,,,,
,,,,,185,30/03/2024,order food,-,195,,,,,,,,
,,,,,186,31/03/2024,food,-,89,,,,,,,,
,,,,,187,31/03/2024,Maggie + juice + egg +snacks,-,80,,,,,,,,
,,,,,188,31/03/2024,water melon +tea,-,40,,,,,,,,
,,,,,189,01/04/2024,spare,-,10,,,,,,,,
TOTAL,,,,183486,190,01/04/2024,juice ,-,10,,,,,,,,
,,,,,191,02/04/2024,spare,-,20,,,,,,,,
,,,,,192,04/04/2021,spare,-,20,,,,,,,,
,,,,,193,05/04/2024,spare,-,20,,,,,,,,
,,,,,194,06/04/2024,room to busstop ,-,10,,,,,,,,
,,,,,195,06/04/2024,kanchi to home ,-,66,,,,,,,,
,,,,,196,08/04/2024,home to clg,-,40,,,,,,,,
,,,,,197,08/04/2024,tea time ,-,92,,,,,,,,
,,,,,198,08/04/2024,recharge ,-,241,,,,,,,,
,,,,,199,08/04/2024,spare+ petrol ,-,70,,,,,,,,
,,,,,200,08/04/2024,food + watermelon +waterbottle ,-,100,,,,,,,,
,,,,,201,08/04/2024,waterbottle + coca,-,50,,,,,,,,
,,,,,202,09/04/2024,tomato + onion +egg + soap + snacks,-,68,,,,,,,,
,,,,,203,10/04/2024,shoap + shampoo  +curd,-,24,,,,,,,,
,,,,,204,10/04/2024,clg to room,-,20,,,,,,,,
,,,,,205,10/04/2024,room to bus stop to arcot to home,-,78,,,,,,,,
,,,,,206,10/04/2024,waterbottle  + tea + puffs,-,52,,,,,,,,
,,,,,207,12/04/2024,bakery + juice ,-,160,,,,,,,,
,,,,,208,11/04/2024,ponda + buji ,-,50,,,,,,,,
,,,,,209,15/04/2024,chicken ,-,70,,,,,,,,
,,,,,210,16/04/2024,bgmi+topup ff,-,50,,,,,,,,
,,,,,211,16/04/2024,atm charge,-,353,,,,,,,,
,,,,,212,17/04/2024,home to clg,-,55,,,,,,,,
,,,,,213,17/04/2024,clg to room to busstop ,-,40,,,,,,,,
,,,,,214,17/04/2024,busstop to home,-,60,,,,,,,,
,,,,,215,17/04/2024,juice+waterbottle ,-,40,,,,,,,,
,,,,,216,22/04/2024,home to muthukadai  to room,-,51,,,,,,,,
,,,,,217,22/04/2024,room to clg to room,-,30,,,,,,,,
,,,,,218,22/04/2024,watermelon + milk + vegetable ,-,70,,,,,,,,
,,,,,219,22/04/2024,bread+soap+shampoo+detergent+rope,-,162,,,,,,,,
,,,,,220,22/04/2024,snacks +juice +water,-,40,,,,,,,,
,,,,,221,23/04/2024,curd+banana ,-,50,,,,,,,,
,,,,,222,23/04/2024,spare,-,20,,,,,,,,
,,,,,223,24/04/2024,spare,-,20,,,,,,,,
,,,,,224,24/04/2024,watermelon ,-,20,,,,,,,,
,,,,,225,24/04/2024,tamilvanan,-,50,,,,,,,,
,,,,,226,25/04/2024,grocery things ,-,98,,,,,,,,
,,,,,227,26/04/2024,banana +parrot+milk,-,75,,,,,,,,
,,,,,228,26/04/2024,Xerox ,-,15,,,,,,,,
,,,,,228,27/04/2024,spare,-,20,,,,,,,,
,,,,,228,27/04/2024,egg,-,24,,,,,,,,
,,,,,229,28/04/2024,milk + order half amount ,-,53,,,,,,,,
,,,,,230,29/04/2024,spare + snacks+egg+milk,-,54,,,,,,,,
,,,,,231,29/04/2024,food,-,160,,,,,,,,
,,,,,232,30/04/2024,juice ,-,25,,,,,,,,
,,,,,233,01/05/2024,milk+bannana ,-,30,,,,,,,,
,,,,,234,02/05/2024,food ,-,62,,,,,,,,
,,,,,235,02/05/2024,supermarket ,-,40,,,,,,,,
,,,,,236,02/05/2024,juice ,-,60,,,,,,,,
,,,,,237,03/05/2024,juice,-,100,,,,,,,,
,,,,,238,04/05/2024,milk+snacks +juice +tea ,-,55,,,,,,,,
,,,,,239,04/05/2024,vegetable +egg+curd,-,39,,,,,,,,
,,,,,240,05/05/2024,curd+snacks ,-,20,,,,,,,,
,,,,,241,06/05/2024,spare +tea,-,40,,,,,,,,
,,,,,212,07/05/2024,tea+vegetable ,-,80,,,,,,,,
,,,,,213,08/05/2024,potato +egg,-,56,,,,,,,,
,,,,,214,08/05/2024,supermarket ,-,228,,,,,,,,
,,,,,215,09/05/2024,spare+cafe,-,80,,,,,,,,
,,,,,216,10/05/2024,room to Kanchipuram to arcot to home,-,92,,,,,,,,
,,,,,217,11/05/2024,icecream ,-,60,,,,,,,,
,,,,,218,11/05/2024,electricity ,-,150,,,,,,,,
,,,,,219,11/05/2024,lens(half)+petrol+food,-,900,,,,,,,,
,,,,,220,12/05/2024,amma ,-,20,,,,,,,,
,,,,,221,12/05/2024,dream 11,-,13,,,,,,,,
,,,,,222,13/05/2024,recharge ,-,19,,,,,,,,
,,,,,223,13/05/2024,snacks +juice ,-,20,,,,,,,,
,,,,,224,14/05/2024,home to muthukadai to room,-,50,,,,,,,,
,,,,,225,13/05/2024,amma,-,20,,,,,,,,
,,,,,226,14/05/2024,spare,-,30,,,,,,,,
,,,,,227,14/05/2024,movie ,-,120,,,,,,,,
,,,,,228,15/05/2024,spare,-,20,,,,,,,,
,,,,,229,15/05/2024,ice+juice+fogg scent+valaka,-,284,,,,,,,,
,,,,,230,16/05/2024,spare,-,20,,,,,,,,
,,,,,231,16/05/2024,juice +supermarket +waterbottle ,-,128,,,,,,,,
,,,,,232,16/05/2024,revaluation ,-,400,,,,,,,,
,,,,,233,17/05/2024,kanchi to home + juice,-,88,,,,,,,,
,,,,,234,17/05/2024,mushroom +pannipoori,-,90,,,,,,,,
,,,,,235,18/05/2024,petrol + food,-,200,,,,,,,,
,,,,,236,18/05/2024,flower + bannana ,-,60,,,,,,,,
,,,,,237,19/05/2024,paper + pens,-,26,,,,,,,,
,,,,,238,19/05/2024,recharge ,-,14,,,,,,,,
